- 0x0805b008 Free 92872 was never alloc'd 0xb7df9fc1

Memory not freed:
-----------------
   Address     Size     Caller
0x0806f0a0     0x24  at 0xb7b4ba19
0x0806f0c8      0x7  at 0xb7b4b4c4
0x0806f0d8      0xe  at 0xb7b4b4c4
0x0806f0f0     0x24  at 0xb7b4ba19
0x0806f118      0x8  at 0xb7b4b4c4
0x0806f128      0xe  at 0xb7b4b4c4
0x0806f140     0x11  at 0xb7c4f980
0x0806f158     0x28  at 0xb7ef83d3
0x0806f188      0x8  at 0xb7ef7f84
0x0806f1a0      0xd  at 0xb7b4b4c4
0x0806f1b8      0x8  at 0xb7b4b4c4
0x0806f1c8      0xd  at 0xb7b4b4c4
0x0806f1e0      0xd  at 0xb7b4b4c4
0x0806f1f8     0x24  at 0xb7b4ba19
0x0806f220     0x14  at 0xb7b54afa
0x0806f238      0x7  at 0xb7b4b4c4
0x0806f270      0x7  at 0xb7b4b4c4
0x0806f280     0x24  at 0xb7b4ba19
0x0806f2a8      0x7  at 0xb7b4b4c4
0x0806f2b8     0x24  at 0xb7b4ba19
0x0806f2e0      0x8  at 0xb7b4b4c4
0x0806f2f0      0x7  at 0xb7b4b4c4
0x0806f300      0x6  at 0xb7b4b4c4
0x0806f310     0x24  at 0xb7b4ba19
0x0806f570     0x14  at 0xb7b54afa
0x0806f838     0x14  at 0xb7b54afa
0x0806f908      0x9  at 0xb7b4b4c4
0x0806f918     0x24  at 0xb7b4ba19
0x0806f940      0x4  at 0xb7b4b4c4
0x0806f950     0x24  at 0xb7b4ba19
0x0806f978      0x5  at 0xb7b4b4c4
0x0806f988      0x4  at 0xb7b4b4c4
0x0806f998     0x24  at 0xb7b4ba19
0x0806f9c0     0x24  at 0xb7b4ba19
0x0806f9e8      0x5  at 0xb7b4b4c4
0x0806f9f8      0x7  at 0xb7b4b4c4
0x0806fa08     0x24  at 0xb7b4ba19
0x0806fa30      0xa  at 0xb7b4b4c4
0x0806fa40     0x24  at 0xb7b4ba19
0x0806fa68      0x9  at 0xb7b4b4c4
0x0806fa78     0x24  at 0xb7b4ba19
0x0806faa0      0x8  at 0xb7b4b4c4
0x0806fab0     0x24  at 0xb7b4ba19
0x0806fad8      0x8  at 0xb7b4b4c4
0x0806fae8     0x24  at 0xb7b4ba19
0x0806fb10      0x6  at 0xb7b4b4c4
0x0806fb20     0x24  at 0xb7b4ba19
0x0806fb48      0x9  at 0xb7b4b4c4
0x0806fb58      0x6  at 0xb7b4b4c4
0x0806fb68     0x24  at 0xb7b4ba19
0x0806fb90     0x11  at 0xb7b4b4c4
0x0806fba8     0x24  at 0xb7b4ba19
0x0806fbd0     0x24  at 0xb7b4ba19
0x0806fbf8      0x5  at 0xb7b4b4c4
0x0806fc08     0x12  at 0xb7b4b4c4
